Vardas     Pavarde    ND1  ND2  ND3  ND4  ND5  Egzaminas
Vardas1 Pavarde1 9 5 4 8 1 2
Vardas2 Pavarde2 1 5 2 1 2 2
Vardas3 Pavarde3 1 2 9 3 3 6
Vardas4 Pavarde4 3 4 3 1 6 3
Vardas5 Pavarde5 5 3 10 1 7 7
Vardas6 Pavarde6 1 2 8 7 2 7
Vardas7 Pavarde7 10 6 7 4 4 7
Vardas8 Pavarde8 5 2 1 9 2 3
Vardas9 Pavarde9 4 9 9 4 4 6
Vardas10 Pavarde10 5 6 6 9 9 10
Vardas11 Pavarde11 9 10 4 7 1 7
Vardas12 Pavarde12 5 5 4 3 4 2
Vardas13 Pavarde13 6 7 5 8 4 3
Vardas14 Pavarde14 8 7 10 5 2 5
Vardas15 Pavarde15 3 3 5 6 6 2
Vardas16 Pavarde16 8 1 6 2 10 5
Vardas17 Pavarde17 5 7 3 1 9 9
Vardas18 Pavarde18 9 9 9 3 6 3
Vardas19 Pavarde19 9 2 8 8 9 6
Vardas20 Pavarde20 10 10 6 7 2 10
Vardas21 Pavarde21 3 3 1 9 3 4
Vardas22 Pavarde22 3 6 7 10 3 7
Vardas23 Pavarde23 4 2 1 2 8 1
Vardas24 Pavarde24 9 10 9 8 3 6
Vardas25 Pavarde25 6 5 2 6 5 6
Vardas26 Pavarde26 7 4 6 7 5 6
Vardas27 Pavarde27 3 1 1 6 2 5
Vardas28 Pavarde28 10 5 7 10 8 6
Vardas29 Pavarde29 8 10 10 6 8 2
Vardas30 Pavarde30 10 10 8 8 2 3
Vardas31 Pavarde31 5 2 5 1 5 9
Vardas32 Pavarde32 7 4 2 6 8 2
Vardas33 Pavarde33 9 7 8 2 8 10
Vardas34 Pavarde34 7 6 7 10 5 3
Vardas35 Pavarde35 2 9 4 5 6 3
Vardas36 Pavarde36 5 1 6 5 9 2
Vardas37 Pavarde37 5 6 10 3 10 3
Vardas38 Pavarde38 10 3 3 5 4 5
Vardas39 Pavarde39 8 5 8 9 7 6
Vardas40 Pavarde40 10 1 10 3 2 2
Vardas41 Pavarde41 2 7 8 8 7 7
Vardas42 Pavarde42 1 7 1 2 5 10
Vardas43 Pavarde43 4 6 8 5 2 4
Vardas44 Pavarde44 8 4 5 10 4 7
Vardas45 Pavarde45 6 4 1 1 2 3
Vardas46 Pavarde46 2 5 10 5 9 1
Vardas47 Pavarde47 2 1 5 6 7 4
Vardas48 Pavarde48 7 4 5 4 1 1
Vardas49 Pavarde49 1 6 10 7 5 1
Vardas50 Pavarde50 4 6 10 7 9 9
Vardas51 Pavarde51 9 4 5 7 3 2
Vardas52 Pavarde52 6 5 10 6 5 6
Vardas53 Pavarde53 10 10 10 1 9 6
Vardas54 Pavarde54 3 6 4 5 6 6
Vardas55 Pavarde55 4 2 3 2 6 1
Vardas56 Pavarde56 5 5 3 1 6 10
Vardas57 Pavarde57 2 6 2 6 1 10
Vardas58 Pavarde58 3 5 1 10 3 7
Vardas59 Pavarde59 4 4 3 7 4 6
Vardas60 Pavarde60 6 9 7 5 1 2
Vardas61 Pavarde61 5 10 7 7 1 5
Vardas62 Pavarde62 9 1 1 8 4 5
Vardas63 Pavarde63 2 5 8 5 9 3
Vardas64 Pavarde64 4 8 8 9 8 8
Vardas65 Pavarde65 2 4 6 6 6 3
Vardas66 Pavarde66 6 3 2 6 2 2
Vardas67 Pavarde67 9 1 1 10 6 10
Vardas68 Pavarde68 9 10 5 9 6 9
Vardas69 Pavarde69 3 10 4 5 4 9
Vardas70 Pavarde70 6 4 10 10 7 1
Vardas71 Pavarde71 5 6 2 1 9 4
Vardas72 Pavarde72 5 9 1 3 8 1
Vardas73 Pavarde73 9 3 4 1 5 9
Vardas74 Pavarde74 7 7 8 4 3 8
Vardas75 Pavarde75 1 3 2 1 5 4
Vardas76 Pavarde76 1 10 2 8 9 3
Vardas77 Pavarde77 8 10 8 1 9 4
Vardas78 Pavarde78 1 6 3 3 6 5
Vardas79 Pavarde79 2 7 8 7 9 3
Vardas80 Pavarde80 6 3 4 5 2 8
Vardas81 Pavarde81 5 1 7 8 2 5
Vardas82 Pavarde82 8 3 6 2 6 3
Vardas83 Pavarde83 3 4 3 7 5 7
Vardas84 Pavarde84 10 4 9 3 8 6
Vardas85 Pavarde85 9 10 2 3 3 6
Vardas86 Pavarde86 9 9 9 9 7 9
Vardas87 Pavarde87 8 3 10 5 3 1
Vardas88 Pavarde88 5 2 7 8 9 10
Vardas89 Pavarde89 10 10 4 1 6 2
Vardas90 Pavarde90 8 1 9 4 9 9
Vardas91 Pavarde91 3 10 10 8 8 1
Vardas92 Pavarde92 9 4 8 3 1 8
Vardas93 Pavarde93 7 7 3 9 3 9
Vardas94 Pavarde94 5 5 6 7 8 9
Vardas95 Pavarde95 7 3 10 5 8 3
Vardas96 Pavarde96 9 6 3 10 1 9
Vardas97 Pavarde97 7 8 2 5 3 9
Vardas98 Pavarde98 9 7 3 4 8 3
Vardas99 Pavarde99 4 9 3 9 4 4
Vardas100 Pavarde100 3 3 2 10 8 6
Vardas101 Pavarde101 10 1 1 3 1 4
Vardas102 Pavarde102 9 7 10 9 2 3
Vardas103 Pavarde103 4 5 5 8 1 4
Vardas104 Pavarde104 8 3 1 4 3 7
Vardas105 Pavarde105 9 8 9 3 10 4
Vardas106 Pavarde106 10 1 1 8 7 5
Vardas107 Pavarde107 8 7 4 1 3 1
Vardas108 Pavarde108 8 2 8 6 8 6
Vardas109 Pavarde109 10 10 3 10 1 3
Vardas110 Pavarde110 4 7 8 7 5 9
Vardas111 Pavarde111 6 4 9 2 8 10
Vardas112 Pavarde112 9 9 7 1 3 1
Vardas113 Pavarde113 6 8 3 2 2 7
Vardas114 Pavarde114 8 4 7 4 4 5
Vardas115 Pavarde115 6 8 1 1 7 2
Vardas116 Pavarde116 5 9 3 7 9 7
Vardas117 Pavarde117 4 6 5 10 1 6
Vardas118 Pavarde118 1 3 8 10 10 6
Vardas119 Pavarde119 2 8 10 2 2 1
Vardas120 Pavarde120 3 8 4 4 3 7
Vardas121 Pavarde121 8 4 2 2 5 8
Vardas122 Pavarde122 4 3 4 4 8 9
Vardas123 Pavarde123 5 9 2 7 5 4
Vardas124 Pavarde124 8 9 8 9 9 5
Vardas125 Pavarde125 10 8 6 2 6 4
Vardas126 Pavarde126 6 10 9 9 9 5
Vardas127 Pavarde127 10 6 8 3 6 4
Vardas128 Pavarde128 3 7 7 1 9 5
Vardas129 Pavarde129 1 8 9 5 3 4
Vardas130 Pavarde130 4 6 9 6 9 3
Vardas131 Pavarde131 9 8 7 7 6 6
Vardas132 Pavarde132 2 5 4 8 1 2
Vardas133 Pavarde133 4 8 1 5 7 5
Vardas134 Pavarde134 8 2 6 7 7 8
Vardas135 Pavarde135 10 8 2 6 6 10
Vardas136 Pavarde136 5 7 8 2 5 1
Vardas137 Pavarde137 1 3 7 7 6 5
Vardas138 Pavarde138 2 4 6 6 8 1
Vardas139 Pavarde139 1 2 9 5 4 6
Vardas140 Pavarde140 1 10 4 9 6 3
Vardas141 Pavarde141 2 3 8 8 2 7
Vardas142 Pavarde142 3 8 7 1 7 10
Vardas143 Pavarde143 7 10 7 4 2 10
Vardas144 Pavarde144 4 5 4 1 9 8
Vardas145 Pavarde145 5 4 10 2 7 4
Vardas146 Pavarde146 5 3 9 6 2 4
Vardas147 Pavarde147 3 9 8 2 1 6
Vardas148 Pavarde148 3 5 8 6 7 1
Vardas149 Pavarde149 3 6 4 2 1 6
Vardas150 Pavarde150 1 2 1 3 9 2
Vardas151 Pavarde151 8 5 7 4 7 4
Vardas152 Pavarde152 8 4 7 7 8 1
Vardas153 Pavarde153 3 3 2 8 5 6
Vardas154 Pavarde154 8 9 6 5 7 4
Vardas155 Pavarde155 10 8 5 6 7 2
Vardas156 Pavarde156 8 7 1 7 2 8
Vardas157 Pavarde157 5 10 2 9 7 4
Vardas158 Pavarde158 4 5 6 5 10 4
Vardas159 Pavarde159 4 2 5 5 10 2
